name,category,year,courseid,credit,duration,schedule,current_students,total_students,note
고급파이썬프로그래밍,이중(부)전공,2,V41010101,3,3,금 4 5 6 ( ),60,55,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
고급파이썬프로그래밍,이중(부)전공,2,V41010102,3,3,금 1 2 3 ( ),52,55,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
고급파이썬프로그래밍,이중(부)전공,2,V41010103,3,3,수 1 2 3 ( ),59,55,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
컴퓨터수학,이중(부)전공,2,V41002201,3,3,월 1 2 3 ( ),52,50,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
컴퓨터수학,이중(부)전공,2,V41002202,3,3,금 1 2 3 ( ),59,50,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
컴퓨터수학,이중(부)전공,2,V41002203,3,3,금 7 8 9 ( ),60,50,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
언어와논리,이중(부)전공,2,V41003201,3,3,화 4 5 6 (3306),37,35,"대면, AI융합전공 이중전공생만 수강(기존 언어와공학 포함)"
컴퓨터와언어학,이중(부)전공,3,J05002201,3,3,수 4 5 6 (3401),37,35,"대면, AI융합전공(Language&AI 트랙) 및 기존 언어와공학 이중전공생만 수강, 이번학기에 한해서 ELLT학과, 영어학과, 영어학부 교차수강 가능"
언어와데이터베이스,이중(부)전공,4,J05402201,3,3,목 7 8 9 (1503),22,30,"대면, AI융합전공(Language&AI 트랙) 및 기존 언어와공학 이중전공생만 수강"
공학설계,이중(부)전공,2,V41011101,3,3,금 1 2 3 ( ),12,60,"비대면(학기 전체), 타학년은 수강신청 전체날에만 신청 가능, 타전공은 개강 이후 정정기간에만 신청 가능"
